Delhi metro fare : 1st query,Prerna,Ojasvi,Urvi,Himanshu,,Prerna ,Ojasvi ,Urvi,Himanshu
http://indianexpress.com/about/delhi-metro-accident/,,0,,,,,10,,
,,,,,,,,,
Ranking Annotation,,,,,,,,,
,,,,,,,,,
"1,2",,1,,,,,,,
"1,3",,0,,,,,,,
"1,4",,1,,,,,,,
"1,5",,1,,,,,,,
"1,6",,1,,,,,,,
"1,7",,1,,,,,,,
"1,8",,1,,,,,,,
"1,9",,1,,,,,,,
"1,10",,1,,,,,,,
"2,3",,0,,,,,,,
"2,4",,1,,,,,,,
"2,5",,1,,,,,,,
"2,6",,1,,,,,,,
"2,7",,1,,,,,,,
"2,8",,1,,,,,,,
"2,9",,1,,,,,,,
"2,10",,1,,,,,,,
"3,4",,1,,,,,,,
"3,5",,1,,,,,,,
"3,6",,1,,,,,,,
"3,7",,1,,,,,,,
"3,8",,1,,,,,,,
"3,9",,1,,,,,,,
"3,10",,1,,,,,,,
"4,5",,1,,,,,,,
"4,6",,1,,,,,,,
"4,7",,1,,,,,,,
"4,8",,1,,,,,,,
"4,9",,1,,,,,,,
"4,10",,1,,,,,,,
"5,6",,1,,,,,,,
"5,7",,1,,,,,,,
"5,8",,1,,,,,,,
"5,9",,1,,,,,,,
"5,10",,1,,,,,,,
"6,7",,1,,,,,,,
"6,8",,1,,,,,,,
"6,9",,1,,,,,,,
"6,10",,1,,,,,,,
"7,8",,1,,,,,,,
"7,9",,1,,,,,,,
"7,10",,1,,,,,,,
"8,9",,1,,,,,,,
"8,10",,1,,,,,,,
"9,10",,1,,,,,,,
,,,,,,,,,
How to get admission in IIIT- Delhi : 11th query,Prerna,Ojasvi,Urvi,Himanshu,,Prerna ,Ojasvi ,Urvi,Himanshu
,,,,,,,,,
https://www.motachashma.com/entranceexam/100217/iiit-delhi-admission&sa=U&ved=0ahUKEwiD84TZ2t3aAhVKs48KHW9DBVYQFgg9MAY&usg=AOvVaw05hHK7lOUaercp31xL4g6x,,1,,,,,1,,
https://www.iiitd.ac.in/admission,,1,,,,,2,,
https://www.iiitd.ac.in/admission/btech/2017,,1,,,,,3,,
https://www.quora.com/How-do-I-get-an-admission-into-IIIT-Delhi,,1,,,,,4,,
http://recruitmentresult.com/iiit-delhi-admission/,,1,,,,,5,,
https://www.collegepravesh.com/engineering-colleges/iiit-delhi/,,1,,,,,6,,
